jobid,title,employer,location,salary,description,tags,url,date,weeknum
115582,Full Stack Engineer,YogaGlo,"Santa Monica, CA",,"Who We Are
YogaGlo, Inc. is a health and wellness company. Our products offer online yoga classes from…","[""node.js"",""redis"",""postgresql"",""json-api"",""docker""]",/jobs/115582/full-stack-engineer-yogaglo,2016-08-08,32
118030,Senior Ruby Engineer,CyberU (Startup Accelerator),"Santa Monica, CA",,"CyberU is a part of the Cornerstone Startup Accelerator, and we are looking for someone who can create…","[""ruby"",""go"",""sinatra"",""docker"",""reactjs""]",/jobs/118030/senior-ruby-engineer-cyberu-startup-accelerator,2016-08-08,32
117913,Software Engineer (Python) for Electric Car Company,Evercar,"Los Angeles, CA",Provides Equity,"Position Summary:
Reporting to the VP of Technology, the Software Engineer will help develop our…","[""python"",""django"",""rest"",""mysql"",""google-compute-engine""]",/jobs/117913/software-engineer-python-for-electric-car-evercar,2016-08-08,32
110732,Web Application Engineer (.NET),Ecstatic Labs,"Richmond, VA",,We are looking for a passionate developer to be the next member of our small developer-owned company…,"[""c#"",""javascript"",""iis"",""sql-server"",""asp.net-mvc""]",/jobs/110732/web-application-engineer-net-ecstatic-labs,2016-08-08,32
118004,Software Engineer - Web Applications,Schweitzer Engineering Laboratories,"Pullman, WA",,"Software Engineer – Web Applications
Schweitzer Engineering Laboratories (SEL) seeks an innovative team…","[""c++"",""python"",""perl"",""javascript"",""delphi""]",/jobs/118004/software-engineer-web-applications-schweitzer-engineering,2016-08-08,32
122458,Lisp Software Engineer - $30k,Crossover,No office location,,This position offers an excellent opportunity to be involved in development of industry-leading real…,"[""lisp"",""c"",""c++"",""linux"",""windows""]",/jobs/122458/lisp-software-engineer-30k-crossover,2016-08-08,32
118002,Software Engineer III,GHX,"Louisville, CO",,"Software Engineer III | Current Openings











Essential Duties:

Gathers and writes…","[""java"",""j2ee"",""ood"",""sql"",""etl""]",/jobs/118002/software-engineer-iii-ghx,2016-08-08,32
108559,Java Development Lead,Loblaw Digital,"Toronto, ON, Canada",,Loblaw Digital is the team responsible for building and operating e-commerce businesses for Canada’s…,"[""java"",""javascript"",""jquery"",""sql"",""html""]",/jobs/108559/java-development-lead-loblaw-digital,2016-08-08,32
108558,Senior Java Developer,Loblaw Digital,"Toronto, ON, Canada",,Loblaw Digital is the team responsible for building and operating e-commerce businesses for Canada’s…,"[""java"",""javascript"",""spring"",""jquery"",""hybris""]",/jobs/108558/senior-java-developer-loblaw-digital,2016-08-08,32
117999,Director of Service Delivery REMOTE,XWP,"Melbourne, Australia",,"About XWP
Companies with complex, large-scale WordPress platforms partner with XWP for technical…","[""agile-project-management"",""agile-processes""]",/jobs/117999/director-of-service-delivery-remote-xwp,2016-08-08,32
108555,Game developer,CompuCom Inc,"Redmond, WA",,"Job Duties:

Perform Unity integrations
Perform performance analysis and optimization (CPU mostly,…","[""c#"",""c++"",""unity3d"",""cpu"",""gpu""]",/jobs/108555/game-developer-compucom-inc,2016-08-08,32
117997,Sr. Python/Django Engineer,"mobovida, LLC","Fullerton, CA",Provides Equity,"Winner of the 2016 Oracle Marketing Markie Awards - ""Best Emerging Company""!
Seeking an experienced…","[""python"",""django"",""css"",""javascript"",""angularjs""]",/jobs/117997/sr-python-django-engineer-mobovida-llc,2016-08-08,32
117996,"Senior Front-End Developer, Bitbucket",Atlassian,"San Francisco, CA",,Are you a creative and talented front-end developer? Are you passionate about working on a dynamic team…,"[""reactjs"",""redux"",""javascript""]",/jobs/117996/senior-front-end-developer-bitbucket-atlassian,2016-08-08,32
120362,Healthcare Software Engineer,"Composer, LLC","Scranton, PA","$40,000 - 50,000","Prospective duties include working with our existing software development group to design,program, and…","[""c#"",""winforms"",""asp.net""]",/jobs/120362/healthcare-software-engineer-composer-llc,2016-08-08,32
117987,"Developer (HTML, CSS and JavaScript (.NET a big plus))",ProSight Specialty Insurance,"Morristown, NJ",,The Insurance Industry is not known for its innovation or transformation surrounding its products or…,"[""html"",""css"",""javascript"","".net""]",/jobs/117987/developer-html-css-and-javascript-net-a-big-prosight-specialty-insurance,2016-08-08,32
105703,iOS Developer,Konrad Group,"Toronto, ON, Canada",,"What's the gig?
As an iOS application developer, you’ll be tasked with developing many different types…","[""ios"",""oop"",""rest"",""objective-c""]",/jobs/105703/ios-developer-konrad-group,2016-08-08,32
115706,Software Engineer - Full Stack Web Engineer,Wikimedia Foundation,"San Francisco, CA",,"Summary
We’re looking for a full stack web engineer who can make 450 million pages a day load smoothly,…","[""php"",""css"",""html5"",""javascript"",""restful-architecture""]",/jobs/115706/software-engineer-full-stack-web-engineer-wikimedia-foundation,2016-08-08,32
120360,iOS Mobile Developer,Anexinet,"Blue Bell, PA",,Anexinet is the leading systems Integration and Technology Management firm in the Philadelphia area. The…,"[""ios"",""objective-c"",""swift"",""xcode"",""foundation""]",/jobs/120360/ios-mobile-developer-anexinet,2016-08-08,32
50760,Senior Software Engineer,"TES USA (Wikispaces, Blendspace)","San Francisco, CA",,TES is looking for senior software engineers to build and scale our quickly-growing education technology…,"[""mysql"",""python"",""node.js"",""reactjs""]",/jobs/50760/senior-software-engineer-tes-usa-wikispaces,2016-08-08,32
114846,Hybris eCommerce wizards required,SeedCloud,"New Delhi, India",,"The role
Joining a growing team in the Delhi NCR office the right candidates will be able to take…","[""java"",""spring"",""tdd"",""hybris"",""e-commerce""]",/jobs/114846/hybris-ecommerce-wizards-required-seedcloud,2016-08-08,32
117992,Manager of Software Engineer to help build a new Cloud Platform!,Amadeus North America,"Waltham, MA",,"Summary of the roleAs an experienced Director, you will use your leadership, expertise and ingenuity to…","[""uml"",""xml"",""json""]",/jobs/117992/manager-of-software-engineer-to-help-build-a-new-amadeus-north-america,2016-08-08,32
120353,Senior Software Developer,Computronix,"Lakewood, CO",,"Overview
As a member of the Computronix development team, you will work in a highly dynamic, fast…","[""plsql"",""rdbms"",""sql"",""python"",""javascript""]",/jobs/120353/senior-software-developer-computronix,2016-08-08,32
120352,Android Developer,Trifecta Retail Ventures,"Helsinki, Finland",,Trifecta Retail Ventures is looking for a seasoned and smart Android developer to join our top secret…,"[""android"",""java""]",/jobs/120352/android-developer-trifecta-retail-ventures,2016-08-08,32
117989,Python Engineer,Amadeus North America,"Waltham, MA",,"Summary of the role
The mission of Amadeus’ Hotel IT team is to design and deliver high performance…","[""python"",""uml"",""sql""]",/jobs/117989/python-engineer-amadeus-north-america,2016-08-08,32
115665,OS X / iOS Developer (m/f),stoeger it GmbH (www.OutBank.io),"Dachau, Deutschland",,Become part of a dynamic team and significantly impact on the future direction of our next generation…,"[""swift"",""ios""]",/jobs/115665/os-x-ios-developer-m-f-stoeger-it-gmbh,2016-08-08,32
117637,Junior Java-/JEE-Entwickler,Gepardec IT Services GmbH,"Linz, Österreich","€32,000 - 42,000","
Mitarbeit in einem agilen Team, viele technische Herausforderungen in einer High-End…","[""java"",""jee"",""jboss"",""jsf"",""eclipse""]",/jobs/117637/junior-java-jee-entwickler-gepardec-it-services-gmbh,2016-08-08,32
115632,User Experience Designer Agile,Scotiabank,"Toronto, ON, Canada",,"We're hiring a User Experience Designer to join our Digital Factory team.
Responsibilities:

You will…","[""css"",""html"",""javascript"",""user-experience"",""adobe""]",/jobs/115632/user-experience-designer-agile-scotiabank,2016-08-08,32
117961,Work in Barcelona - Senior DevOps Engineer at FinTech company,PRESTAMOS PRIMA S.L.,"Barcelona, Spain",,We are looking for a DevOps star to join our friendly international team. What would be your daily…,"[""docker"",""mysql"",""nosql"",""nginx"",""sysadmin""]",/jobs/117961/work-in-barcelona-senior-devops-engineer-at-prestamos-prima-sl,2016-08-08,32
115633,Full Stack Developer,Scotiabank,"Toronto, ON, Canada",,"We're looking for a Full Stack Developer to join our Digital Factory team.
Are you the right person for…","[""javascript"",""java"",""node.js"",""sql"","".net""]",/jobs/115633/full-stack-developer-scotiabank,2016-08-08,32
117960,Solutions Designer,Aviva,"Perth, UK",,Aviva is revolutionising insurance and we want you to be at the forefront of it.You’ll be joining Aviva…,"[""architecture"",""agile"",""soa"",""software-design""]",/jobs/117960/solutions-designer-aviva,2016-08-08,32
108202,“We're evolving but we like our objects immutable”,Sky Betting & Gaming,"Sheffield, UK",,"Scala
Sky Betting & Gaming is a pure online business that brings the excitement of Sports Betting,…","[""java"",""java-ee"",""scala"",""sql"",""cqrs""]",/jobs/108202/were-evolving-but-we-like-our-objects-immutable-sky-betting-gaming,2016-08-08,32
111085,Software Developer,InComm,"Miami, FL",,"InComm Agent Solutions represents the cutting-edge of payment processing, offering customers an…","[""wcf"",""agile"",""c#"",""jquery""]",/jobs/111085/software-developer-incomm,2016-08-08,32
115659,Software Engineer - Python.,Playtech,"London, UK","£40,000 - 60,000","Software Engineer with Playtech Sports.
Playtech Sports, part of the Playtech group, are looking for…","[""python"",""mongodb"",""rabbitmq"",""docker"",""kubernetes""]",/jobs/115659/software-engineer-python-playtech,2016-08-08,32
120330,Business Intelligence Engineer (m/f),Magic Internet GmbH,"Berlin, Deutschland",,"Your responsibilities

Working in a self-organized interdisciplinary team as developer for our data…","[""etl"",""javascript"",""awsredshift"",""data-warehouse"",""google-analytics""]",/jobs/120330/business-intelligence-engineer-m-f-magic-internet-gmbh,2016-08-08,32
120309,Softwareentwickler (m/w) - Perl für eine weltweite eCommerce Plattform,Delticom AG,"Hannover, Deutschland",,"
Entwurf und Entwicklung von sicheren, skalierbaren Webanwendungen auf Basis von LAMP 
Optimierung und…","[""perl"",""html"",""css"",""javascript"",""sql""]",/jobs/120309/softwareentwickler-m-w-perl-f%C3%BCr-eine-delticom-ag,2016-08-08,32
115666,Backend Java Developer - OSLO,PasientSky,"Oslo, Norway","€60,000 - 80,000",Join to develop solutions that will revolutionize health-Norway! we seek both Norwegian and English…,"[""java"",""scala"",""mysql"",""elasticsearch"",""reactjs""]",/jobs/115666/backend-java-developer-oslo-pasientsky,2016-08-08,32
120323,Android Engineer,SwiftKey (Microsoft),"London, UK",,"SwiftKey is now proudly part of Microsoft.
The SwiftKey Android keyboard is our flagship product,…","[""android"",""java"",""c++""]",/jobs/120323/android-engineer-swiftkey-microsoft,2016-08-08,32
120324,Senior Backend Engineer,Falcon.io,"København, Denmark",,Falcon is a Software-as-a-Service provider in the Customer Experience Management space. We provide a…,"[""java""]",/jobs/120324/senior-backend-engineer-falconio,2016-08-08,32
117958,Software Engineer,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD",,"Summary: The Johns Hopkins University Applied Physics Laboratory (APL), a national leader in scientific…","[""java""]",/jobs/117958/software-engineer-johns-hopkins-university,2016-08-08,32
120345,Django Engineer (m/w),RegioHelden GmbH,"Stuttgart, Deutschland",,"Heroic deeds
As an engineering hero you will participate in all phases of the software development…","[""django"",""python"",""google-api"",""jenkins"",""optimization""]",/jobs/120345/django-engineer-m-w-regiohelden-gmbh,2016-08-08,32
115695,.Net Developer,Something Digital,"New York, NY",,".Net Developer 
Something Digital is looking for an inspired, self-starting, motivated .Net Developer…","[""asp.net"",""javascript"",""c#"",""sharepoint"",""mysql""]",/jobs/115695/net-developer-something-digital,2016-08-08,32
117984,Experienced Front-End Developer,Rapasso,"Best, Netherlands",,We are looking for a passionate front-end developer driven by innovation and creativity. Candidates…,"[""extjs"",""javascript"",""python"",""django"",""reactjs""]",/jobs/117984/experienced-front-end-developer-rapasso,2016-08-08,32
117983,Android Developer for Mobile Payments Startup,Mobeewave,"Montréal, QC, Canada",,You will work to build and improve our mobile payment applications and take them to the next level. This…,"[""android"",""javascript"",""c#"",""git"",""mobile""]",/jobs/117983/android-developer-for-mobile-payments-startup-mobeewave,2016-08-08,32
106090,".NET Software Developer (Back-end, Cloud ERP App)",Acumatica,"Montréal, QC, Canada",,"Acumatica is seeking a back-end software developer to join our team at our new Montreal office, located…","[""c#"",""asp.net"",""acumatica"",""erp"",""mysql""]",/jobs/106090/net-software-developer-back-end-cloud-erp-app-acumatica,2016-08-08,32
117918,Experienced Software Developer for Multi-Domain Consultancy,Atomic Object,"Ann Arbor, MI",,"We're growing a diverse team of curious, creative people who love helping client solve problems with…","[""java"",""ios"",""ruby-on-rails"",""android"",""reactjs""]",/jobs/117918/experienced-software-developer-for-multi-domain-atomic-object,2016-08-08,32
120333,Senior / Lead Full Stack Java Developer,Inenergis,"Farnborough, UK","£80,000 - 100,000",Our technology team is seeking innovative and creative talent to be part of our growing multi-skilled…,"[""java-ee"",""hibernate"",""web-services"",""jbossfuse"",""jsf-2.2""]",/jobs/120333/senior-lead-full-stack-java-developer-inenergis,2016-08-08,32
115684,Senior Linux Hadoop Administrator,Meridian Health Plan,"Detroit, MI",,"A Day in the life of a Senior Linux Hadoop Administrator: 

Establishing and maintaining a Hadoop and…","[""hadoop"",""linux"",""redhat"",""bigdata"",""apache-spark""]",/jobs/115684/senior-linux-hadoop-administrator-meridian-health-plan,2016-08-08,32
117978,Senior Software Engineer,Passport,"Charlotte, NC","$60,000 - 80,000",Software Engineers are responsible for leading Passport’s application planning and development across…,[],/jobs/117978/senior-software-engineer-passport,2016-08-08,32
117979,Cleantech Software Engineer,Amber Kinetics,"Union City, CA",,Amber Kinetics is looking for a talented software engineer to build real-time communications and…,"[""c#"",""security"",""networking"",""tcp"",""architecture""]",/jobs/117979/cleantech-software-engineer-amber-kinetics,2016-08-08,32
117476,Applications and Web Developer,AAMA,"Chicago, IL","$75,000 - 85,000","Essential Duties and Responsibilities
Planning/Research/Documentation [10%]
Stays abreast of changes…","["".net"",""sql-server"",""html"",""css"",""javascript""]",/jobs/117476/applications-and-web-developer-aama,2016-08-08,32
115682,Hadoop Big Data Engineer,Meridian Health Plan,"Detroit, MI",,"A Day in the Life of a Hadoop Big Data Engineer: 

This is an exciting opportunity to use your varied…","[""hadoop"",""bigdata"",""tableau"",""sql"",""java""]",/jobs/115682/hadoop-big-data-engineer-meridian-health-plan,2016-08-08,32
116220,iOS and Android Developer - Voted Best Place to Work in 2015,TicketBiscuit,"Hoover, AL",,TicketBiscuit is looking to hire an iOS and Android developer with with at least 1 to 2 years of…,"[""swift"",""java"",""xamarin"",""agile""]",/jobs/116220/ios-and-android-developer-voted-best-place-to-ticketbiscuit,2016-08-08,32
95418,Software-Entwickler (m/w) für Webshops und eCommerce,neuland bremen GmbH,"Bremen, Germany",,"Komm ins Team! 
DU willst Spaß an der Arbeit? Spannende Projekte? 
Und das als Teil eines dynamischen…","[""java"",""ruby"",""html"",""css"",""javascript""]",/jobs/95418/software-entwickler-m-w-f%C3%BCr-webshops-und-neuland-bremen-gmbh,2016-08-08,32
111125,Software Engineer,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD",,Summary: The Combat System Development and Assessment Group of APL is seeking an individual to perform…,"[""software"",""c++""]",/jobs/111125/software-engineer-johns-hopkins-university,2016-08-08,32
120344,Linux System Administrator,trivago,"Düsseldorf, Germany",,Join our team and actively shape the technical future of the world’s largest online hotel search. Work…,"[""linux"",""apache"",""sysadmin""]",/jobs/120344/linux-system-administrator-trivago,2016-08-08,32
120304,Project Manager IT,FTI Touristik GmbH,"München, Deutschland",,"Ihre Aufgaben:
Von der ersten Idee über die Initiierung bis zur erfolgreichen Einführung im…",[],/jobs/120304/project-manager-it-fti-touristik-gmbh,2016-08-08,32
115680,"VP, Information Technology",AssistRx,"Orlando, FL",,"The Vice President, Information Technology will provide leadership to the technology organization This…","[""c#"","".net"",""php"",""asp.net-mvc"",""agile""]",/jobs/115680/vp-information-technology-assistrx,2016-08-08,32
120342,Sr. Full Stack C#/JavaScript Developer,HotSchedules,"Alpharetta, GA",,"You will be working in an Agile Scrum environment with the support of an assigned SCRUM Master,…","[""c#"",""javascript"","".net"",""sql"",""html""]",/jobs/120342/sr-full-stack-c-sharp-javascript-developer-hotschedules,2016-08-08,32
120321,Backend Developer,Yousician,"Helsinki, Finland",,"Join a team of Rockstar developers to make the world a more musical place!
Yousician is the biggest…","[""python"",""amazon-web-services"",""mongodb"",""javascript"",""flask""]",/jobs/120321/backend-developer-yousician,2016-08-08,32
120211,Software Developer Java in Pharmaceutical Packaging Industy,Pharmacontrol Electronic GmbH - a member of METTLER TOLEDO Group,"Zwingenberg, Deutschland","€50,000 - 70,000",Pharmacontrol Electronic GmbH provides Track & Trace solutions for the pharmaceutical packaging…,"[""java"",""java-ee"",""jdbc"",""swing"",""javafx""]",/jobs/120211/software-developer-java-in-pharmaceutical-pharmacontrol-electronic-gmbh,2016-08-08,32
120320,C# GUI Software Developer,"Michigan Custom Machines, Inc.","Novi, MI","$85,000 - 100,000",We are looking for an individual to create custom user interfaces for the unique specialty machines and…,"[""c#"",""visualstudio"",""winforms"",""architect"",""xml""]",/jobs/120320/c-sharp-gui-software-developer-michigan-custom-machines-inc,2016-08-08,32
117957,Nodejs developer in market research,eye square,"Berlin, Germany","€50,000 - 75,000",eye square is looking for a full stack JavaScript developer to join our team in Berlin-Kreuzberg. You…,"[""javascript"",""node.js"",""microservices"",""ios"",""android""]",/jobs/117957/nodejs-developer-in-market-research-eye-square,2016-08-08,32
116735,Java developer (Budapest),IT Services Hungary,"Budapest, Hungary",,"
Business programming with existing large-scale software system

Support system…","[""java""]",/jobs/116735/java-developer-budapest-it-services-hungary,2016-08-08,32
108783,Javascript Engineer,QuikOrder,"Chicago, IL","$80,000 - 120,000",Javascript Engineers at QuikOrder are creating our node-based next generation eCommerce platform. We’re…,"[""node.js"",""reactjs"",""javascript""]",/jobs/108783/javascript-engineer-quikorder,2016-08-08,32
111057,Senior Web Frontend Entwickler,IOZ AG,"Sursee, Schweiz",,"Die Entwicklungsabteilung der IOZ AG besteht aus Frontend- und Backendentwicklern, sowie UX/UI…","[""javascript"",""sass"",""angularjs"",""typescript"",""agile""]",/jobs/111057/senior-web-frontend-entwickler-ioz-ag,2016-08-08,32
122453,Network Validation Engineer (FreeBSD),Intel Corporation,"Gdańsk, Poland",,The Datacenter Group (DCG) drives new products and technologies from high-end co-processors for…,"[""python"",""freebsd"",""tcp-ip""]",/jobs/122453/network-validation-engineer-freebsd-intel-corporation,2016-08-08,32
112076,DevOps Engineer - Sporting Big Data,TXODDS Sport Betting Ltd,"London, UK",,"As Senior DevOps Engineer you will be responsible for the provisioning, administration, and security of…","[""linux"",""devops"",""security"",""sysadmin"",""hadoop""]",/jobs/112076/devops-engineer-sporting-big-data-txodds-sport-betting-ltd,2016-08-08,32
120318,WEB-ENTWICKLER FRONTEND (M/W),epoq internet services GmbH,"Karlsruhe, Deutschland",,CUSTOMER DRIVEN E-COMMERCE:Wir bei epoq haben eine klare Mission „Wir lassen keine Kundenwünsche…,"[""css"",""jquery"",""angularjs"",""responsive-design"",""javascript""]",/jobs/120318/web-entwickler-frontend-m-w-epoq-internet-services-gmbh,2016-08-08,32
120341,Java Betologist,Sky Betting & Gaming,"Leeds, UK","£30,000 - 55,000",Sky Betting and Gaming is a pure online business with a mobile first ethos that brings the excitement of…,"[""java-8"",""java"",""restful"",""open-source"",""aws-lambda""]",/jobs/120341/java-betologist-sky-betting-gaming,2016-08-08,32
111123,Director Security Operations Center,Outerwall,"Bellevue, WA",,"Director Security Operation Center
Position Overview
The Director Security Operations Center [SOC] has…","[""soc"",""managed"",""security"",""service""]",/jobs/111123/director-security-operations-center-outerwall,2016-08-08,32
120339,Front End Engineer,Peloton Interactive,"New York, NY",,You will be working on the team that creates and expands the Peloton ecosystem on the web. You and your…,"[""reactjs"",""typescript"",""sass"",""jade"",""javascript""]",/jobs/120339/front-end-engineer-peloton-interactive,2016-08-08,32
117959,Project manager – A/B testing on major media platforms,eye square,"Berlin, Germany","€45,000 - 60,000",eye square is looking for a Project manager to join our development team in Berlin-Kreuzberg. Working…,"[""javascript"",""html5-video"",""android"",""ios""]",/jobs/117959/project-manager-a-b-testing-on-major-media-eye-square,2016-08-08,32
117968,Sr. Dev Ops Engineer,International Data Group (IDG),"San Francisco, CA",,"IDG is looking for a Sr. Dev Ops Engineer to join the engineering team in San Francisco!
IDG is a…","[""unix"",""linux"",""apache"",""lamp"",""tomcat"",""sysadmin""]",/jobs/117968/sr-dev-ops-engineer-international-data-group-idg,2016-08-08,32
67791,Take part in our residential sustainable energy revolution,The Sustainables BV,"Amsterdam, Netherlands",,"Experienced software developer for 3D Reconstruction
We are looking for multiple developers, with C++…","[""opencv"",""c++"",""computer-vision"",""photogrammetry"",""3d-modelling""]",/jobs/67791/take-part-in-our-residential-sustainable-energy-the-sustainables-bv,2016-08-08,32
108490,Oracle DBA,American Family Insurance,"Madison, WI",,"This Database Specialist provides the highest level of expertise in the architectural design,…","[""oracle"",""oracle11g"",""oracle10g"",""sysadmin""]",/jobs/108490/oracle-dba-american-family-insurance,2016-08-08,32
118052,Développeur Web Full Stack,Spallian,"Paris, France","€30,000 - 45,000","Directement rattaché à l’équipe de développement, vous serez amené, selon vos compétences, à intervenir…","[""javascript"",""c++""]",/jobs/118052/d%C3%A9veloppeur-web-full-stack-spallian,2016-08-08,32
118051,Application Support / Quality Assurance,Lunch Actually Pte Ltd,Singapore,,"
Provide first-level application support to users
Ensure operational IT functionality especially…","[""testing"",""qa""]",/jobs/118051/application-support-quality-assurance-lunch-actually-pte-ltd,2016-08-08,32
117878,Senior Front-End Engineer,Appway,"Chiasso, Switzerland",,"You are passionate about software, laser-focused and self-motivated. In this position, you will work…","[""javascript"",""css"",""html"",""oop""]",/jobs/117878/senior-front-end-engineer-appway,2016-08-08,32
122216,Solution Architect,Appway,"New York, NY",,Do you want to have a meaningful global impact and be an integral part of a fast growing business? Then…,"[""java"",""user-interface"",""html"",""agile"",""bpm""]",/jobs/122216/solution-architect-appway,2016-08-08,32
66687,Front End Software Engineer,McLaren Applied Technologies,"Woking, UK",,Front end software engineers at McLaren Applied Technologies create innovative solutions using the…,"[""javascript"",""frontend"",""html"",""css"",""agile""]",/jobs/66687/front-end-software-engineer-mclaren-applied-technologies,2016-08-08,32
122175,"Web-Entwickler (m/w) HTML5, TypeScript, Angular 2",Agfa HealthCare GmbH,"Trier, Deutschland",,Für unsere Geschäftsstelle in Trier oder Wien suchen wir zum nächstmöglichen Termin…,"[""html5"",""typescript"",""angular"",""web""]",/jobs/122175/web-entwickler-m-w-html5-typescript-angular-2-agfa-healthcare-gmbh,2016-08-08,32
110780,클라이언트 개발자(Client Developer),DEVSISTERS Corp.,"Seoul, South Korea",,DEVSISTERS의 클라이언트 개발자는 모바일 게임 및 지원 툴 등의 개발과 관련된 모든 부분을 책임지고 있습니다. 클라이언트 개발팀이 가지는 가장 큰 특징은 실제 기획에서부터 깊이있는…,"[""c++"",""cocos2d-x""]",/jobs/110780/%ED%81%B4%EB%9D%BC%EC%9D%B4%EC%96%B8%ED%8A%B8-%EA%B0%9C%EB%B0%9C%EC%9E%90-client-developer-devsisters-corp,2016-08-08,32
122461,Tech Lead - Build your team the way you want!,Glorgo,Singapore,"$5,000 - 8,000",We’re looking for a Tech Lead who specialises in Backend to run a team to develop and improve our…,"[""python"",""django"",""postgresql"",""devops"",""amazon-web-services""]",/jobs/122461/tech-lead-build-your-team-the-way-you-want-glorgo,2016-08-08,32
122349,Software Developer,Capisce,"Helensvale, Australia","$85,000 - 105,000",We are the development team for a successful software distributor located in Gold Coast. We are building…,"[""c#"",""swift"",""asp.net"",""sikuli"",""ionic""]",/jobs/122349/software-developer-capisce,2016-08-08,32
107587,Software Developer - Windows Apps C#,Esri,"Portland, ME",,"You could spend your days supporting existing systems, or you could be handed cutting-edge technology…","[""c#"",""c++"",""model-view-controller""]",/jobs/107587/software-developer-windows-apps-c-sharp-esri,2016-08-08,32
107592,Senior JavaScript Engineer,Esri,"Arlington, VA",,"Web architecture is rapidly evolving, creating new challenges to build responsive, interactive, data…","[""javascript"",""node.js"",""angularjs""]",/jobs/107592/senior-javascript-engineer-esri,2016-08-08,32
107594,SDK Software Developer,Esri,"Redlands, CA",,"Do you have a flair for designing SDKs that make common use cases easy, while keeping the SDK highly…","["".net"",""sdk"",""c#"",""c++""]",/jobs/107594/sdk-software-developer-esri,2016-08-08,32
113147,Software Engineer - .Net/C#,Esri,"Redlands, CA",,Are you a talented .NET/C# developer? Do you have a passion for solving development problems with…,"[""c#"","".net"",""web-services"",""asp.net-mvc""]",/jobs/113147/software-engineer-net-c-sharp-esri,2016-08-08,32
122460,"Fullstack Javascript Dev (Remote) - MEAN stack, Facebook/Twitter APIs, React",Social News Desk,No office location,,We're looking for a person with the right blend of experience in both front-end and back-end development…,"[""javascript"",""angularjs"",""mongodb"",""reactjs""]",/jobs/122460/fullstack-javascript-dev-remote-mean-stack-social-news-desk,2016-08-08,32
120376,UNIX/Linux Systems Administrator,WalletHub,"Washington, DC",,"Job Description
WalletHub is a high-growth start-up based in Washington, D.C. .Our fast-paced…","[""linux"",""unix"",""amazon-web-services"",""amazon-ec2"",""sysadmin""]",/jobs/120376/unix-linux-systems-administrator-wallethub,2016-08-08,32
108574,Software Development Manager - Metadata and Configuration Platform,Amazon,"Seattle, WA",,The Metadata and Configuration Platform (MCP) team is responsible for developing technologies that…,"[""leadership"",""software"",""configuration""]",/jobs/108574/software-development-manager-metadata-and-amazon,2016-08-08,32
115724,"Senior Software Engineer, Modeling",Quantcast,"London, UK",Provides Equity,"Quantcast is a large scale, data driven organization that lives and breathes data, processing well over…","[""distributed-computing"",""mapreduce"",""c++"",""java""]",/jobs/115724/senior-software-engineer-modeling-quantcast,2016-08-08,32
95982,Senior/Lead Full-Stack Engineer (.NET) - Connected Devices,Syncromatics,"Los Angeles, CA",,"Help us reach 1M connected devices.
Come help us build the next generation of technology for the…","[""c#"",""asp.net-mvc"",""asp.net-web-api"",""javascript"",""sql-server""]",/jobs/95982/senior-lead-full-stack-engineer-net-syncromatics,2016-08-08,32
115722,"Staff Engineer / Team Lead, Inventory",Quantcast,Singapore,Provides Equity,This tight-knit group of software engineers based in Singapore is tasked with developing and running…,"[""ruby"",""shell"",""http"",""linux"",""tcp""]",/jobs/115722/staff-engineer-team-lead-inventory-quantcast,2016-08-08,32
120373,CTO's Right Hand - Software Developer,"TextPower, Inc.","San Juan Capistrano, CA",,Software developer to assist the CTO in expanding the software capabilities and functionality of our…,"[""asp.net"",""ado.net"",""restful-architecture"",""json"",""sql-server""]",/jobs/120373/ctos-right-hand-software-developer-textpower-inc,2016-08-08,32
118034,Software Quality Assurance Analyst,Shift4 Corporation,"Las Vegas, NV",,"Position Description
As a member of the Development team, the Software Quality Assurance Analyst is an…","[""scrum"",""agile-processes""]",/jobs/118034/software-quality-assurance-analyst-shift4-corporation,2016-08-08,32
108906,PHP Full Stack Developer,PrintSites,"Fenton, MI",,We are seeking mid to senior level PHP developers to work full-time contributing to the success of our…,"[""php"",""symfony2"",""mysql"",""javascript"",""phpunit""]",/jobs/108906/php-full-stack-developer-printsites,2016-08-08,32
115709,Senior Software Developer - Concur R&D,Concur / SAP,"Minneapolis, MN",,"As a core member of Concur’ s Minnesota R&D Center, you will be designing and building the next…","[""java"",""sql"",""soap"",""rest"",""javascript""]",/jobs/115709/senior-software-developer-concur-r-d-concur-sap,2016-08-08,32
118032,Software Engineer,Thorn,"San Francisco, CA",,Thorn invites software engineers in the San Francisco Bay Area to join the Thorn Innovation Lab to…,"[""python"",""javascript"",""web-scraping"",""etl"",""elasticsearch""]",/jobs/118032/software-engineer-thorn,2016-08-08,32
120562,Cloud Specialist,Myler,"Apeldoorn, Netherlands",,"Voor onze klant Belastingdienst zijn wij op zoek naar 4 Cloud Specialisten.
Concrete…","[""microsoft-system-center-2"",""itil"",""scrum"",""cloud""]",/jobs/120562/cloud-specialist-myler,2016-08-08,32
