jobid,title,employer,location,salary,description,tags,url,date,weeknum
84668,Cloud Consultant (m/w),ipt Innovation Process Technology,"Zürich, Schweiz",Provides Equity,"Über ipt 
ipt ist die IT-Consulting Boutique in der Deutschschweiz, wenn es um Software…","[""java"",""java-ee"",""soa"",""xml"",""bpm""]",/jobs/84668/cloud-consultant-m-w-ipt-innovation-process,2016-07-25,30
98814,IT Architect (m/w),ipt Innovation Process Technology,"Zug, Schweiz",,"Über ipt 
ipt ist die IT-Consulting Boutique in der Deutschschweiz, wenn es um Software…","[""java-ee"",""java"",""xml"",""web-services"",""rest""]",/jobs/98814/it-architect-m-w-ipt-innovation-process,2016-07-25,30
82881,Front-End Developer,Clicktripz,"Manhattan Beach, CA",,Clicktripz is looking for a talented front-end developer. This is a full-time position and the developer…,"[""javascript"",""css"",""html""]",/jobs/82881/front-end-developer-clicktripz,2016-07-25,30
121551,Sr Full Stack Ruby on Rails Developer,Informz Inc.,"Saratoga Springs, NY",,We are currently seeking a motivated Senior Full Stack Ruby on Rails Developer to develop and support…,"[""ruby-on-rails"",""ruby"",""angularjs"",""javascript"",""sql""]",/jobs/121551/sr-full-stack-ruby-on-rails-developer-informz-inc,2016-07-25,30
121563,Database Engineer (Experienced),Sandia National Laboratories,"Albuquerque, NM",,"What Your Job Will Be Like
We are seeking a Database Engineer to join our team.
On any given day, you…","[""oracle"",""unix"",""powerbi"",""bigdata""]",/jobs/121563/database-engineer-experienced-sandia-national-laboratories,2016-07-25,30
117063,Software Engineer Java,castLabs GmbH,"Berlin, Germany",,You will develop cutting-edge video delivery technology deployed in international telecommunication…,"[""java"",""amazon-web-services"",""drm"",""video-streaming"",""mpeg-dash""]",/jobs/117063/software-engineer-java-castlabs-gmbh,2016-07-25,30
117062,Software Engineer: Android Video Player,castLabs GmbH,"Berlin, Germany",,You will develop cutting-edge video player technology deployed in international telecommunication…,"[""java"",""android"",""video-streaming"",""drm"",""c++""]",/jobs/117062/software-engineer-android-video-player-castlabs-gmbh,2016-07-25,30
121561,Fullstack Web Entwickler / Programmierer (m/w),CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"
Du bist Teil eines agilen Entwicklungsteams (nach Scrum) und für die Weiterentwicklung der Java…","[""javascript"",""java"",""html5"",""css3"",""angularjs""]",/jobs/121561/fullstack-web-entwickler-programmierer-m-w-cts-eventim-solutions-gmbh,2016-07-25,30
117060,Lead Software QA Automation Engineer,Passport,"Charlotte, NC","$65,000 - 70,000",Our Quality Assurance team is an integral part of our software development team. Our QA engineers ensure…,"[""rest"",""java"",""qa"",""scrum"",""agile""]",/jobs/117060/lead-software-qa-automation-engineer-passport,2016-07-25,30
121560,Quality Assurance / Qualitätssicherung Professional EVENTIM WEBSHOP (m/w),CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,Als Teil des neu aufgebauten Scrum-Teams verfügen Sie über ein ausgeprägtes agiles Mindset. Sie…,"[""scrum"",""java"",""selenium"",""cucumber"",""automated-tests""]",/jobs/121560/quality-assurance-qualit%C3%A4tssicherung-cts-eventim-solutions-gmbh,2016-07-25,30
121559,Softwareentwickler Java (m/w),CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"
Sie sind Teil eines agilen Entwicklungsteams (nach Scrum) und für die Weiterentwicklung der Java…","[""java"",""sql"",""scrum"",""agile""]",/jobs/121559/softwareentwickler-java-m-w-cts-eventim-solutions-gmbh,2016-07-25,30
121558,JavaScript Developer,EMBL-EBI,"Hinxton, UK",,We are seeking an enthusiastic and talented JavaScript Developer to join our Web Development team at the…,"[""sass"",""less"",""javascript"",""user-experience"",""d3.js""]",/jobs/121558/javascript-developer-embl-ebi,2016-07-25,30
121557,DevOps Spezialist (m/w) für Java Webanwendungen,CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"
Anpassung und Optimierung der Delivery- und Deployment-Prozesse für unsere Web-Portale von der Idee…","[""scrum"",""sql-server"",""devops"",""deployment"",""apache""]",/jobs/121557/devops-spezialist-m-w-f%C3%BCr-java-webanwendungen-cts-eventim-solutions-gmbh,2016-07-25,30
121556,Java Software Developer (w/m),afb Application Services AG,"München, Deutschland",,"Ihre Aufgaben

Sie arbeiten an der Analyse, dem Entwurf und der Implementierung unserer Applikationen…","[""java"",""jee"",""jsf"",""jpa"",""jboss""]",/jobs/121556/java-software-developer-w-m-afb-application-services-ag,2016-07-25,30
121555,Senior Mobile Application Developer,Republic Services,"Scottsdale, AZ",,POSITION SUMMARY: The Senior Mobile Application Developer serves as a lead technical resource on the…,"[""ios"",""api"",""javascript""]",/jobs/121555/senior-mobile-application-developer-republic-services,2016-07-25,30
99904,"Senior Mobile Engineers - Objective-C, Java, Xcode, Android, REST API",Skyscanner,"London, UK",,"Bugatti Veyron, Concorde, Apollo 10, high velocity bullet, light - and you! Your whole life, you’ve…","[""objective-c"",""java"",""xcode"",""android"",""swift""]",/jobs/99904/senior-mobile-engineers-objective-c-java-skyscanner,2016-07-25,30
112753,PHP-Entwickler/in für attraktive Projekte [40h · kein Dresscode · Getränke frei],eWorks GmbH · 20+ Entwickler · seit 1998,"Frankfurt am Main, Deutschland",,"HERZLICH WILLKOMMEN BEI EWORKS!
Wer sind wir? Wir sind eWorks, 1998 von 2 Frankfurter Informatik…","[""mysql"",""php"",""jquery"",""javascript"",""html5""]",/jobs/112753/php-entwickler-in-f%C3%BCr-attraktive-projekte-40h-eworks-gmbh-20-plus-entwickler,2016-07-25,30
121554,Senior Informatica Developer,Republic Services,"Phoenix, AZ",,POSITION SUMMARY: The Senior Application Programmer/Analyst-ETL position within the Business…,"[""ssis"",""sql"",""etl""]",/jobs/121554/senior-informatica-developer-republic-services,2016-07-25,30
121553,Salesforce Developer,Republic Services,"Phoenix, AZ",,"POSITION SUMMARY: The Salesforce Developer develops, configures, codes, tests, and debugs complex new…","[""sdlc"",""javascript"",""dynamics-crm-2011""]",/jobs/121553/salesforce-developer-republic-services,2016-07-25,30
117083,Full Stack Engineer,Sandstorm Design,"Chicago, IL",,"Sandstorm Design is seeking an Full Stack Engineer to join our team! 
Join a creative, collaborative…","[""php"",""drupal"",""python"",""javascript"",""jquery""]",/jobs/117083/full-stack-engineer-sandstorm-design,2016-07-25,30
104656,Senior Web Developer – C#/.Net,Crate and Barrel,"Northbrook, IL",,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,"[""c#"",""asp.net"",""mvc"",""sql-server"",""jquery""]",/jobs/104656/senior-web-developer-c-sharp-net-crate-and-barrel,2016-07-25,30
104660,Lead Web Developer - C#/.Net,Crate and Barrel,"Northbrook, IL",,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,"[""c#"",""asp.net-mvc"",""sql"",""nosql""]",/jobs/104660/lead-web-developer-c-sharp-net-crate-and-barrel,2016-07-25,30
104658,Front End Developer,Crate and Barrel,"Northbrook, IL",,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,"[""html"",""css"",""javascript"",""jquery"",""twitter-bootstrap""]",/jobs/104658/front-end-developer-crate-and-barrel,2016-07-25,30
105351,Scrum Master,TeleTracking Technologies,"Pittsburgh, PA",,"Scrum Masters are responsible for ensuring Scrum is understood and enacted by adhering to Scrum theory,…","[""scrum"",""agile""]",/jobs/105351/scrum-master-teletracking-technologies,2016-07-25,30
119356,Software Engineer,"GuideStar USA, Inc.","Williamsburg, VA",,"Join an Innovative Nonprofit that is changing the Nonprofit Sector!
GuideStar is the largest source of…",[],/jobs/119356/software-engineer-guidestar-usa-inc,2016-07-25,30
114623,Full stack web developer (C#). Must enjoy challenges.,MPD Group,"Manchester, UK",,"We are looking for developers who enjoy solving problems, find coding fun, like being part of an agile…","[""c#""]",/jobs/114623/full-stack-web-developer-c-sharp-must-enjoy-mpd-group,2016-07-25,30
117082,Programmer Analyst,Inscape,"East Gwillimbury, ON, Canada",,Do you live and breathe code?  Are you looking for a way to fund your MMO and RedBull habits?  Want to…,[],/jobs/117082/programmer-analyst-inscape,2016-07-25,30
117081,"Test Analyst with a Small, Collaborative Team",GlobalSubmit,"Philadelphia, PA",,GlobalSubmit is looking to the future! Our mission is to become the top regulatory affairs provider for…,"[""sql"",""sql-server"",""c#"",""vb.net"",""oracle""]",/jobs/117081/test-analyst-with-a-small-collaborative-team-globalsubmit,2016-07-25,30
117079,Software Development Engineer,Outerwall / ECOATM,"San Diego, CA","$95,000 - 107,000

                                / 
Provides Equity",At ECOATM/ OUTERWALL We are currently looking for an experienced and talented web services and middle…,"[""html"",""javascript"",""visual-studio-2013"","".net"",""mysql""]",/jobs/117079/software-development-engineer-outerwall-ecoatm,2016-07-25,30
103906,Sr Python Engineer,Swimlane,"Broomfield, CO",,Swimlane is looking for a Senior Python Software Engineer to join our core team to develop our open…,"[""python"",""node.js"",""c#"",""nosql"",""celery""]",/jobs/103906/sr-python-engineer-swimlane,2016-07-25,30
