jobid,title,employer,location,salary,description,tags,url,date,weeknum,equity,currency,salary_low,salary_high,country,state,city
122350,Sr. Software Engineer,DrugDev,"Boston, MA",,"Job Description

Are you an accomplished full stack software engineer who specializes in building…","[""sdlc"",""saas"",""ruby-on-rails"",""data""]",/jobs/122350/sr-software-engineer-drugdev,2016-08-05,31,False,,0,0,US,MA,Boston
122347,"Big Data Software Engineer, Analytics",Comcast,"Philadelphia, PA",,Comcast's Technology & Product organization works at the intersection of media and technology. Our…,"[""java"",""linux"",""unix""]",/jobs/122347/big-data-software-engineer-analytics-comcast,2016-08-05,31,False,,0,0,US,PA,Philadelphia
122331,Software Developer - Digital Solutions,TuGo,"Richmond, BC, Canada",,"Summary
At TuGo’s Technology Team, we build innovative, customer-facing solutions using some of the…","[""java"",""javascript"",""html"",""css"",""jira-rest-api""]",/jobs/122331/software-developer-digital-solutions-tugo,2016-08-05,31,False,,0,0,Canada,BC,Richmond
122316,Software Developer - Enterprise Systems,TuGo,"Richmond, BC, Canada",,"Summary
You are a Software Developer who is passionate and proud to develop clean, efficient and high…","[""java"",""hibernate"",""oracle"",""couchbase"",""resteasy""]",/jobs/122316/software-developer-enterprise-systems-tugo,2016-08-05,31,False,,0,0,Canada,BC,Richmond
122329,Experienced .NET Web Developer,PAAS National,"Stoughton, WI",,PAAS National® is looking for an experienced web developer who can expand and maintain our growing suite…,[],/jobs/122329/experienced-net-web-developer-paas-national,2016-08-05,31,False,,0,0,US,WI,Stoughton
122328,Windows 10 Application Developer,Audible,"Newark, NJ",,"About Audible:
Audible, Inc. is the world’s largest seller and producer of spoken audio entertainment,…","[""soa"",""c++"",""windows""]",/jobs/122328/windows-10-application-developer-audible,2016-08-05,31,False,,0,0,US,NJ,Newark
122291,Front-End Developer & Web Designer,Gravity Works Design & Development,"Lansing, MI",,"Love semantic HTML, powerful CSS, and elegant JavaScript? Gravity Works is looking for a front-end…","[""drupal"",""responsive-design"",""sass"",""angularjs""]",/jobs/122291/front-end-developer-web-designer-gravity-works-design,2016-08-05,31,False,,0,0,US,MI,Lansing
122325,Software Developer,Zoom.ai,"Toronto, ON, Canada",,"Zoom.ai, a fast growing funded startup, is looking for a nodeJS software engineer.
You will be part of…","[""node.js"",""amazon-web-services"",""mongodb"",""nlp"",""cron""]",/jobs/122325/software-developer-zoomai,2016-08-05,31,False,,0,0,Canada,ON,Toronto
122322,"Software Engineer, Joint Mission Planning System (JMPS)","AMEWAS, Inc.","San Diego, CA","$90,000 - 110,000","AMEWAS Inc., a growing Defense Company, is seeking  (4) Joint Mission Planning System (JMPS) Software…","[""c++"",""agile"","".net""]",/jobs/122322/software-engineer-joint-mission-planning-system-amewas-inc,2016-08-05,31,False,$,"90,000","110,000",US,CA,San Diego
122319,Full Stack Web Developer - Angular.js (TW321),Microsoft,"Redmond, WA",,"Local Seattle/Bellevue area candidates please!
Our client is a well-known entity in the software,…",[],/jobs/122319/full-stack-web-developer-angularjs-tw321-microsoft,2016-08-05,31,False,,0,0,US,WA,Redmond
