New York,1146
London,1099
Berlin,1080
San Francisco,804
Amsterdam,444
München,442
Seattle,423
Philadelphia,373
Chicago,344
Toronto,321
Hamburg,302
No office location,296
Washington,255
Boston,223
Dublin,198
Stockholm,194
Los Angeles,187
Cambridge,187
Austin,181
Denver,172
